GO	fold_Enrichment	FDR	counts
peptide antigen assembly with MHC class I protein complex 	22	0.0315	3
endoplasmic reticulum tubular network formation 	22	0.0314	3
MHC class I protein complex assembly 	22	0.0314	3
spindle assembly involved in female meiosis I 	22	0.0313	3
regulation of protein localization to endoplasmic reticulum 	22	0.0313	3
electron transport coupled proton transport 	22	0.0312	3
energy coupled proton transmembrane transport, against electrochemical gradient 	22	0.0312	3
regulation of intracellular mRNA localization 	22	0.0311	3
cytoplasmic translation 	19.4	8.37E-63	82
antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent 	18.33	0.00186	5
peptide antigen assembly with MHC protein complex 	17.6	3.68E-08	12
MHC protein complex assembly 	17.6	3.63E-08	12
positive regulation of chromosome condensation 	17.6	0.0449	3
positive regulation of cyclic-nucleotide phosphodiesterase activity 	17.6	0.0449	3
antigen processing and presentation of endogenous peptide antigen 	16.98	2.36E-07	11
positive regulation of intrinsic apoptotic signaling pathway by p53 class mediator 	16.76	0.011	4
positive regulation of mitotic cytokinesis 	16.76	0.011	4
peptide antigen assembly with MHC class II protein complex 	16.5	6.24E-06	9
MHC class II protein complex assembly 	16.5	6.19E-06	9
antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway 	16.29	0.00267	5
granzyme-mediated programmed cell death signaling pathway 	16.29	0.00267	5
negative regulation of ubiquitin protein ligase activity 	15.79	0.000149	7
antigen processing and presentation of endogenous peptide antigen via MHC class I 	15.53	8.7E-06	9
