




Analysis Type:	PANTHER Overrepresentation Test (Released 20221013)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.6799722 Released 2022-07-01
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20589)	upload_1 (702)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
peptide antigen assembly with MHC class I protein complex (GO:0002502)	4	3	.14	+	22.00	1.13E-03	3.15E-02
endoplasmic reticulum tubular network formation (GO:0071787)	4	3	.14	+	22.00	1.13E-03	3.14E-02
MHC class I protein complex assembly (GO:0002397)	4	3	.14	+	22.00	1.13E-03	3.14E-02
spindle assembly involved in female meiosis I (GO:0007057)	4	3	.14	+	22.00	1.13E-03	3.13E-02
regulation of protein localization to endoplasmic reticulum (GO:1905550)	4	3	.14	+	22.00	1.13E-03	3.13E-02
electron transport coupled proton transport (GO:0015990)	4	3	.14	+	22.00	1.13E-03	3.12E-02
energy coupled proton transmembrane transport, against electrochemical gradient (GO:0015988)	4	3	.14	+	22.00	1.13E-03	3.12E-02
regulation of intracellular mRNA localization (GO:1904580)	4	3	.14	+	22.00	1.13E-03	3.11E-02
cytoplasmic translation (GO:0002181)	124	82	4.23	+	19.40	5.34E-67	8.37E-63
antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent (GO:0002486)	8	5	.27	+	18.33	3.97E-05	1.86E-03
peptide antigen assembly with MHC protein complex (GO:0002501)	20	12	.68	+	17.60	1.85E-10	3.68E-08
MHC protein complex assembly (GO:0002396)	20	12	.68	+	17.60	1.85E-10	3.63E-08
positive regulation of chromosome condensation (GO:1905821)	5	3	.17	+	17.60	1.77E-03	4.49E-02
positive regulation of cyclic-nucleotide phosphodiesterase activity (GO:0051343)	5	3	.17	+	17.60	1.77E-03	4.49E-02
antigen processing and presentation of endogenous peptide antigen (GO:0002483)	19	11	.65	+	16.98	1.43E-09	2.36E-07
positive regulation of intrinsic apoptotic signaling pathway by p53 class mediator (GO:1902255)	7	4	.24	+	16.76	3.21E-04	1.10E-02
positive regulation of mitotic cytokinesis (GO:1903490)	7	4	.24	+	16.76	3.21E-04	1.10E-02
peptide antigen assembly with MHC class II protein complex (GO:0002503)	16	9	.55	+	16.50	5.57E-08	6.24E-06
MHC class II protein complex assembly (GO:0002399)	16	9	.55	+	16.50	5.57E-08	6.19E-06
antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway (GO:0002484)	9	5	.31	+	16.29	6.00E-05	2.67E-03
granzyme-mediated programmed cell death signaling pathway (GO:0140507)	9	5	.31	+	16.29	6.00E-05	2.67E-03
negative regulation of ubiquitin protein ligase activity (GO:1904667)	13	7	.44	+	15.79	2.19E-06	1.49E-04
